id	label	rarity	tier	category	depth	definition
0	entity	25	common	noun.Tops	0	that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
1	abstraction	34	common	noun.Tops	1	a general concept formed by extracting common features from specific examples
2	physical entity	36	common	noun.Tops	1	an entity that has physical existence
3	thing	53	common	noun.artifact	1	an entity that is not named specifically
4	attribute	38	common	noun.Tops	2	an abstraction belonging to or characteristic of an entity
5	communication	37	common	noun.Tops	2	something that is communicated by or to or between people or groups
6	event	34	common	noun.Tops	2	something that happens at a given place and time
7	group	31	common	noun.Tops	2	any number of entities (members) considered as a unit
8	measure	26	common	noun.Tops	2	how much there is or how many there are of something that you can quantify
9	otherworld	65	ordinary	noun.cognition	2	an abstract spiritual world beyond earthly reality
10	psychological feature	41	common	noun.Tops	2	a feature of the mental life of a living organism
11	relation	32	common	noun.Tops	2	an abstraction belonging to or characteristic of two entities or parts together
12	set	46	common	noun.group	2	(mathematics) an abstract collection of numbers or symbols
13	causal agent	34	common	noun.Tops	2	any entity that produces an effect or is responsible for events or results
14	matter	36	common	noun.Tops	2	that which has mass and occupies space
15	object	29	common	noun.Tops	2	a tangible and visible entity; an entity that can cast a shadow
16	process	39	common	noun.Tops	2	a sustained phenomenon or one marked by gradual changes through a series of states
17	substance	63	ordinary	noun.substance	2	material of a particular kind or constitution
18	change	67	specific	noun.artifact	2	a thing that is different
19	everything	65	ordinary	noun.artifact	2	all things that are of importance to a person
20	freshener	65	ordinary	noun.artifact	2	anything that freshens
21	go-to	67	specific	noun.artifact	2	an action or object one always chooses first
22	horror	63	ordinary	noun.artifact	2	something that inspires horror; something horrible
23	instalike	65	ordinary	noun.artifact	2	something that is so good that it deserves to be instantly voted for on social media
24	jimdandy	57	common	noun.artifact	2	something excellent of its kind
25	must-see	67	specific	noun.artifact	2	something which is considered required to see
26	pacifier	63	ordinary	noun.artifact	2	anything that serves to pacify
27	security blanket	65	ordinary	noun.artifact	2	anything that an adult person uses to reduce anxiety
28	stinker	63	ordinary	noun.artifact	2	anything that gives off an offensive odor (especially a cheap cigar)
